SampleID,name,Type,Group
P682,Crocosphaera_subtropica_ATCC_51142_strain_ATCC_51142,facultative,group1
P684,Cronobacter_malonaticus_LMG_23826_strain_LMG_23826,facultative,group1
P687,Cronobacter_sakazakii_ATCC_BAA_894_strain_ATCC_BAA_894,facultative,group1
P686,Cronobacter_sakazakii_ATCC_BAA894_strain_ATCC_BAA894,facultative,group2
P689,Cronobacter_turicensis_z3032,facultative,group1
P693,Cupriavidus_metallidurans_CH34_strain_CH34,facultative,group1
P694,Cupriavidus_metallidurans_strain_FDAARGOS_675,facultative,group2
P718,Dechloromonas_aromatica_RCB_strain_RCB,facultative,group1
P736,Deinococcus_gobiensis_I0_strain_I0,facultative,group1
P744,Dermabacter_vaginalis_strain_AD186,facultative,group2
P783,Dickeya_dadantii_3937_strain_3937,facultative,group2
P784,Dickeya_dadantii_NCPPB_898_strain_NCPPB_898,facultative,group1
P786,Dickeya_dianthicola_strain_16LI01,facultative,group2
P788,Dickeya_dianthicola_strain_16LI04,facultative,group1
P789,Dickeya_zeae_CSL_RW192_strain_CSL_RW192,facultative,group2
P790,Dickeya_zeae_EC1_strain_EC1,facultative,group1
P807,Edwardsiella_ictaluri_93146_strain_93146,facultative,group1
P818,Enterobacter_bugandensis_,facultative,group1
P819,Enterobacter_bugandensis_strain_1367,facultative,group2
P826,Enterobacter_cloacae_strain_E3442,facultative,group1
P827,Enterobacter_cloacae_subsp_cloacae_ATCC_13047_strain_ATCC_13047,facultative,group2
P840,Enterococcus_faecalis_strain_4928STDY7071263,facultative,group1
P842,Enterococcus_faecalis_V583_strain_V583,facultative,group2
P849,Enterococcus_rotai_strain_LMG_26678,facultative,group1
P850,Enterococcus_saigonensis_strain_VE80,facultative,group1
P852,Enterococcus_wangshanyuanii_strain_MN05,facultative,group1
P853,Erwinia_amylovora_ATCC_49946_strain_ATCC_49946,facultative,group1
P855,Erwinia_amylovora_strain_ATCC_15580,facultative,group2
P860,Erysipelothrix_rhusiopathiae_str_Fujisawa_strain_Fujisawa,facultative,group1
P861,Erysipelothrix_rhusiopathiae_SY1027_strain_SY1027,facultative,group2
P863,Erythrobacter_mangrovi_strain_EB310,facultative,group1
P951,Escherichia_coli_O114_3AH49_strain_90_9280,facultative,group2
P957,Escherichia_coli_O128ac_3AH12_strain_AW1_7,facultative,group1
P1184,Exiguobacterium_alkaliphilum_strain_B_3531D,facultative,group1
P1183,Exiguobacterium_alkaliphilum_strain_B3531D,facultative,group2
P1187,Exiguobacterium_sibiricum_25515_strain_25515,facultative,group1
P1198,Fictibacillus_phosphorivorans_strain_G25_29,facultative,group1
P1197,Fictibacillus_phosphorivorans_strain_G2529,facultative,group2
P1205,Flavobacterium_commune_strain_PK15,facultative,group1
P1256,Geobacillus_sp_C56T3_strain_C56T3,facultative,group1
P1257,Geobacillus_thermocatenulatus_strain_KCTC_3921,facultative,group1
P1258,Geobacillus_thermoleovorans_CCB_US3_UF5_strain_CCB_US3_UF5,facultative,group1
P1259,Geobacillus_thermoleovorans_strain_ARTRW1,facultative,group2
P1289,Haemophilus_influenzae_F3031_strain_F3031,facultative,group1
P1290,Haemophilus_influenzae_F3047_strain_F3047,facultative,group2
P1301,Hahella_chejuensis_KCTC_2396_strain_KCTC_2396,facultative,group1
P1310,Halomonas_hydrothermalis_strain_Slthf2,facultative,group1
P1337,Hydrogenobacter_thermophilus_TK6_strain_TK6,facultative,group2
P1350,Isoptericola_variabilis_225_strain_225,facultative,group1
P1357,Jeotgalibaca_porci_strain_CCUG_69148,facultative,group1
P1358,Jonesia_denitrificans_DSM_20603_strain_DSM_20603,facultative,group1
P1361,Kangiella_koreensis_DSM_16069_strain_DSM_16069,facultative,group1
P1363,Ketogulonicigenium_vulgare_WSH001_strain_WSH001,facultative,group1
P1457,Klebsiella_pneumoniae_strain_675920,facultative,group1
P1475,Klebsiella_pneumoniae_strain_AR_0046,facultative,group2
P1520,Kosakonia_oryzae_strain_Ola_51,facultative,group1
P1615,Lactobacillus_paragasseri_JV_V03_strain_JV_V03,facultative,group1
P1614,Lactobacillus_paragasseri_JVV03_strain_JVV03,facultative,group2
P1630,Lactococcus_lactis_strain_FDAARGOS_865,facultative,group1
P1634,Lactococcus_lactis_strain_IL6288,facultative,group2
P1636,Lactococcus_petauri_strain_CF11,facultative,group1
P1642,Lactococcus_taiwanensis_strain_K_LL001,facultative,group1
P1643,Lactococcus_taiwanensis_strain_K_LL004,facultative,group2
P1655,Lawsonia_intracellularis_PHE_MN100,facultative,group1
P1671,Lentilactobacillus_curieae_strain_CCTCC_M_2011381,facultative,group1
P1684,Leuconostoc_citreum_KM20_strain_KM20,facultative,group2
P1685,Leuconostoc_citreum_strain_CBA3621,facultative,group1
P1700,Leuconostoc_suionicum_strain_DSM_20241,facultative,group2
P1701,Leuconostoc_suionicum_strain_LT_38,facultative,group1
P1750,Listeria_innocua_Clip11262_strain_Clip11262,facultative,group1
P1751,Listeria_innocua_FSL_J1_023_strain_FSL_J1_023,facultative,group2
P1761,Macrococcus_canis_strain_Epi0076A,facultative,group1
P1762,Macrococcus_canis_strain_Epi0082,facultative,group2
P1763,Macrococcus_caseolyticus_JCSC5402_strain_JCSC5402,facultative,group1
P1764,Magnetococcus_marinus_MC1_strain_MC1,facultative,group1
P1772,Maricaulis_maris_MCS10_strain_MCS10,facultative,group1
P1776,Marinobacter_hydrocarbonoclasticus_VT8_strain_VT8,facultative,group1
P1779,Marinobacter_salsuginis_strain_ECT2AJA044,facultative,group1
P1774,Marinobacterium_georgiense_strain_IC961,facultative,group1
P1797,Mesobacillus_jeotgali_strain_DSM_18226,facultative,group1
P1798,Mesoplasma_florum_L1_strain_L1__ATCC_33453,facultative,group1
P1799,Mesoplasma_florum_W37_strain_W37,facultative,group2
P1805,Methylibium_petroleiphilum_PM1_strain_PM1,facultative,group1
P1833,Microbulbifer_hydrolyticus_strain_IRE31,facultative,group1
P1834,Microbulbifer_thermotolerans_strain_DAU221,facultative,group1
P1845,Mixta_calida_strain_DSM_22759,facultative,group1
P1846,Mixta_gaviniae_strain_DSM_22758,facultative,group1
P1856,Mucilaginibacter_paludis_DSM_18603_strain_DSM_18603,facultative,group1
P1859,Muricauda_ruestringensis_DSM_13258_strain_DSM_13258,facultative,group1
P1906,Neisseria_animaloris_strain_NCTC12227,facultative,group1
P1907,Neisseria_animaloris_strain_NCTC12228,facultative,group2
P1921,Neisseria_zoodegmatis_strain_NCTC12230,facultative,group1
P1922,Neobacillus_thermocopriae_strain_DUT50_236,facultative,group1
P1923,Neptunomonas_japonica_JAMM_1380_strain_JAMM_1380,facultative,group1
P1925,Nitratifractor_salsuginis_DSM_16511_strain_DSM_16511,facultative,group1
P1927,Nitrobacter_winogradskyi_Nb255_strain_Nb255,facultative,group1
P1950,Novosphingobium_pentaromativorans_US61_strain_US61,facultative,group1
P1955,Oenococcus_oeni_PSU1_strain_PSU1,facultative,group2
P1956,Oenococcus_oeni_strain_CRBO_1381,facultative,group1
P1968,Paenibacillus_antarcticus_strain_KACC_11469,facultative,group1
P1973,Paenibacillus_crassostreae_strain_LPB0068,facultative,group1
P1981,Paenibacillus_sophorae_strain_DSM_23020,facultative,group1
P1982,Paenibacillus_sp_Y412MC10_strain_Y412MC10,facultative,group1
P1985,Paenibacillus_xylanilyticus_strain_W4,facultative,group1
P1988,Paludibacterium_yongneupense_strain_BCRC_80531,facultative,group1
P1993,Pannonibacter_phragmitetus_strain_31801,facultative,group2
P1994,Pannonibacter_phragmitetus_strain_H1_4,facultative,group1
P1995,Pantoea_ananatis_LMG_20103_strain_LMG_20103,facultative,group1
P1996,Pantoea_ananatis_PA13_strain_PA13,facultative,group1
P1998,Pantoea_eucalypti_strain_LMG_24197,facultative,group1
P2000,Pantoea_vagans_C9_1_strain_C9_1,facultative,group1
P1999,Pantoea_vagans_C91_strain_C91,facultative,group2
P2008,Paraburkholderia_aromaticivorans_strain_AR20_38,facultative,group1
P2007,Paraburkholderia_aromaticivorans_strain_AR2038,facultative,group2
P2009,Paraburkholderia_caffeinilytica_strain_CF1,facultative,group1
P2022,Parageobacillus_thermoglucosidasius_C56YS93_strain_C56YS93,facultative,group1
P2023,Parageobacillus_thermoglucosidasius_strain_DSM_2542,facultative,group2
P2030,Pasteurella_multocida_OH1905_strain_OH1905,facultative,group1
P2034,Pasteurella_multocida_strain_3361,facultative,group2
P2046,Pectobacterium_atrosepticum_SCRI1043_strain_SCRI1043,facultative,group1
P2047,Pectobacterium_atrosepticum_strain_36A,facultative,group2
P2059,Pediococcus_pentosaceus_ATCC_25745_strain_ATCC_25745,facultative,group1
P2062,Pediococcus_pentosaceus_strain_KCCM_40703,facultative,group2
P2091,Photobacterium_ganghwense_strain_C22,facultative,group1
P2092,Photobacterium_profundum_SS9_strain_SS9,facultative,group1
P2093,Photorhabdus_asymbiotica_,facultative,group1
P2095,Phytobacter_ursingii_strain_CAV1151,facultative,group1
P2108,Polynucleobacter_necessarius_,facultative,group1
P2151,Propionibacterium_freudenreichii_strain_CB129slpB,facultative,group1
P2152,Propionibacterium_freudenreichii_subsp_shermanii_CIRMBIA1_strain_CIRMB1AI,facultative,group2
P2194,Pseudomonas_guangdongensis_strain_CCTCC_AB_2012022,facultative,group1
P2241,Rahnella_sp_Y9602_strain_Y9602,facultative,group2
P2247,Renibacterium_salmoninarum_ATCC_33209_strain_ATCC_33209,facultative,group1
P2252,Rhodobacter_capsulatus_SB_1003_strain_SB_1003,facultative,group1
P2262,Rhodoferax_ferrireducens_T118_strain_DSM_15236,facultative,group1
P2265,Rhodopseudomonas_palustris_BisA53_strain_BisA53,facultative,group1
P2266,Rhodopseudomonas_palustris_DX_1_strain_DX_1,facultative,group2
P2267,Rhodospirillum_centenum_SW_strain_SW__ATCC_51521,facultative,group1
P2273,Riemerella_anatipestifer_ATCC_11845___DSM_15868_strain_ATCC_11845,facultative,group1
P2274,Riemerella_anatipestifer_RA_CH_1_strain_RA_CH_1,facultative,group2
P2281,Roseiflexus_castenholzii_DSM_13941_strain_DSM_13941,facultative,group1
P2292,Rouxiella_badensis_strain_SER3,facultative,group1
P2309,Salmonella_bongori_N268_08_strain_N268_08,facultative,group1
P2310,Salmonella_bongori_NCTC_12419_strain_NCTC_12419,facultative,group2
P2312,Sanguibacter_keddieii_DSM_10542_strain_DSM_10542,facultative,group1
P2326,Serratia_proteamaculans_568_strain_568,facultative,group1
P2328,Shewanella_amazonensis_SB2B_strain_SB2B,facultative,group1
P2330,Shewanella_benthica_strain_DB21MT2,facultative,group1
P2331,Shewanella_chilikensis_strain_DC57,facultative,group1
P2332,Shewanella_dokdonensis_strain_DSM_23626,facultative,group1
P2337,Shewanella_oneidensis_MR_1_strain_MR_1,facultative,group1
P2336,Shewanella_oneidensis_MR1_strain_MR1,facultative,group2
P2338,Shewanella_psychrophila_strain_WP2,facultative,group1
P2340,Shigella_boydii_CDC_308394_strain_BS512__CDC_308394,facultative,group1
P2341,Shigella_boydii_strain_ATCC_9210,facultative,group2
P2400,Spirosoma_rigui_strain_KCTC_12531,facultative,group1
P2403,Staphylococcus_agnetis_strain_1379,facultative,group1
P2437,Staphylococcus_aureus_strain_16405,facultative,group2
P2497,Staphylococcus_aureus_strain_AR_0470,facultative,group1
P2539,Staphylococcus_pettenkoferi_strain_FDAARGOS_1071,facultative,group1
P2540,Staphylococcus_pettenkoferi_strain_FDAARGOS_288,facultative,group2
P2562,Streptococcus_agalactiae_COH1_strain_COH1,facultative,group2
P2571,Streptococcus_agalactiae_strain_B105,facultative,group1
P2582,Streptococcus_ferus_strain_NCTC12278,facultative,group1
P2585,Streptococcus_halotolerans_strain_HTS9,facultative,group1
P2586,Streptococcus_himalayensis_strain_HTS2,facultative,group1
P2591,Streptococcus_marmotae_strain_HTS5,facultative,group1
P2596,Streptococcus_pantholopis_strain_TA_26,facultative,group1
P2608,Streptococcus_respiraculi_strain_HTS25,facultative,group1
P2672,Sulfurovum_sp_NBC371_strain_NBC371,facultative,group1
P2675,Synechococcus_sp_JA33Ab_strain_JA33Ab,facultative,group1
P2693,Tessaracoccus_flavescens_strain_SST39T,facultative,group1
P2703,Thauera_humireducens_strain_SgZ1,facultative,group1
P2704,Thauera_sp_MZ1T_strain_MZ1T,facultative,group1
P2738,Thermus_scotoductus_SA01_strain_SA01,facultative,group1
P2740,Thiobacillus_denitrificans_ATCC_25259_strain_ATCC_25259,facultative,group1
P2745,Tolumonas_auensis_DSM_9187_strain_DSM_9187,facultative,group1
P2768,Tsuneonella_mangrovi_strain_C911,facultative,group2
P2769,Tumebacillus_avium_strain_AR23208,facultative,group2
P2771,Ureaplasma_parvum_serovar_3_str__ATCC_700970_strain_ATCC_700970,facultative,group1
P2770,Ureaplasma_parvum_serovar_3_str_ATCC_27815_strain_ATCC_27815,facultative,group2
P2772,Ureaplasma_urealyticum_serovar_10_str_ATCC_33699_strain_ATCC_33699,facultative,group1
P2774,Vagococcus_penaei_strain_CD276T,facultative,group1
P2782,Vibrio_astriarenae_strain_HN897,facultative,group1
P2783,Vibrio_breoganii_strain_FF50,facultative,group2
P2784,Vibrio_casei_strain_DSM_22364,facultative,group1
P2790,Vibrio_cholerae_M66_2_strain_M66_2,facultative,group1
P2800,Vibrio_cholerae_O1_biovar_El_Tor_str_N16961_strain_N16961,facultative,group1
P2802,Vibrio_crassostreae_9CS106_strain_9CS106,facultative,group1
P2804,Vibrio_diabolicus_strain_FA3,facultative,group1
P2805,Vibrio_diabolicus_strain_FDAARGOS_105,facultative,group1
P2807,Vibrio_jasicida_090810c_strain_090810c,facultative,group1
P2810,Vibrio_metoecus_strain_06_2478,facultative,group1
P2809,Vibrio_metoecus_strain_062478,facultative,group1
P2813,Vibrio_navarrensis_strain_0053_83,facultative,group1
P2812,Vibrio_navarrensis_strain_005383,facultative,group2
P2814,Vibrio_panuliri_strain_JCM_19500,facultative,group1
P2817,Vibrio_scophthalmi_strain_VS_05,facultative,group2
P2816,Vibrio_scophthalmi_strain_VS05,facultative,group1
P2818,Vibrio_spartinae_strain_36,facultative,group1
P2820,Vibrio_tapetis_subsp__tapetis_,facultative,group1
P2819,Vibrio_tapetis_subsp_tapetis_,facultative,group1
P2822,Virgibacillus_pantothenticus_strain_DSM_26,facultative,group1
P2832,Weissella_paramesenteroides_strain_FDAARGOS_414,facultative,group2
P2833,Weissella_paramesenteroides_strain_STCH_BD1,facultative,group1
P2842,Xenorhabdus_bovienii_SS2004_strain_SS2004,facultative,group1
P2847,Yersinia_enterocolitica_strain_8081,facultative,group1
P2848,Yersinia_enterocolitica_strain_FDAARGOS_1082,facultative,group2
P2859,Zymomonas_mobilis_subsp__mobilis_ZM4___ATCC_31821_strain_ZM4___ATCC_31821,facultative,group1
P2857,Zymomonas_mobilis_subsp_mobilis_NCIMB_11163_strain_NCIB_11163,facultative,group2
P002,Acetoanaerobium_sticklandii_strain_DSM_519,anaerobe,group1
P003,Acetobacterium_woodii_DSM_1030_strain_DSM_1030,anaerobe,group1
P008,Acetohalobium_arabaticum_DSM_5501_strain_DSM_5501,anaerobe,group1
P015,Acidaminococcus_fermentans_DSM_20731_strain_DSM_20731,anaerobe,group2
P017,Acidaminococcus_intestini_RyC_MR95_strain_RyC_MR95,anaerobe,group1
P016,Acidaminococcus_intestini_RyCMR95_strain_RyCMR95,anaerobe,group1
P018,Acidimicrobium_ferrooxidans_DSM_10331_strain_DSM_10331,anaerobe,group2
P020,Acidipropionibacterium_acidipropionici_strain_ATCC_55737,anaerobe,group1
P021,Acidipropionibacterium_acidipropionici_strain_CGMCC_1_2230,anaerobe,group1
P023,Acidipropionibacterium_jensenii_strain_FAM_19038,anaerobe,group1
P024,Acidipropionibacterium_jensenii_strain_JS279,anaerobe,group1
P025,Acidipropionibacterium_virtanenii_strain_JS278,anaerobe,group2
P060,Actinomyces_howellii_strain_NCTC11636,anaerobe,group2
P061,Actinomyces_israelii_strain_NCTC12972,anaerobe,group1
P062,Actinomyces_naeslundii_strain_FDAARGOS_1037,anaerobe,group2
P064,Actinomyces_viscosus_strain_NCTC10951,anaerobe,group1
P065,Actinomyces_weissii_strain_CCUG_61299,anaerobe,group1
P074,Aerococcus_urinae_ACS120VCol10a_strain_ACS120VCol10a,anaerobe,group2
P075,Aerococcus_urinae_strain_FDAARGOS_911,anaerobe,group1
P110,Akkermansia_muciniphila_strain_Akk1573,anaerobe,group2
P130,Akkermansia_muciniphila_strain_AMUC,anaerobe,group1
P135,Alcaligenes_aquatilis_strain_QD168,anaerobe,group2
P150,Alistipes_finegoldii_DSM_17242_strain_DSM_17242,anaerobe,group1
P151,Alistipes_indistinctus_strain_2BBH45,anaerobe,group1
P152,Alistipes_shahii_WAL_8301_strain_WAL_8301,anaerobe,group2
P155,Alkaliphilus_oremlandii_OhILAs_strain_OhILAs,anaerobe,group1
P157,Allofrancisella_guangzhouensis_strain_08HL01032,anaerobe,group1
P163,Aminobacterium_colombiense_DSM_12261_strain_DSM_12261,anaerobe,group1
P164,Ammonifex_degensii_KC4_strain_KC4,anaerobe,group1
P167,Anaerococcus_prevotii_DSM_20548_strain_DSM_20548,anaerobe,group1
P169,Anaerolinea_thermophila_UNI_1_strain_UNI_1,anaerobe,group1
P168,Anaerolinea_thermophila_UNI1_strain_UNI1,anaerobe,group2
P172,Anaerostipes_caccae_L1_92_strain_JCM_13470,anaerobe,group1
P171,Anaerostipes_caccae_L192_strain_JCM_13470,anaerobe,group1
P173,Anaerostipes_hadrus_,anaerobe,group1
P174,Anaerostipes_hadrus_strain_BPB5,anaerobe,group1
P175,Anaerostipes_rhamnosivorans_strain_1y2,anaerobe,group2
P185,Arachnia_propionica_strain_F0231,anaerobe,group1
P186,Arachnia_propionica_strain_F0700,anaerobe,group2
P188,Arcanobacterium_phocisimile_strain_DSM_26142,anaerobe,group1
P203,Atopobium_parvulum_DSM_20469_strain_DSM_20469,anaerobe,group1
P215,Bacillus_beveridgei_strain_MLTeJB,anaerobe,group1
P222,Bacillus_intestinalis_strain_T30,anaerobe,group1
P243,Bacteroides_caccae_strain_ATCC_43185,anaerobe,group1
P244,Bacteroides_caccae_strain_FDAARGOS_1097,anaerobe,group1
P246,Bacteroides_caecimuris_strain_I48,anaerobe,group2
P247,Bacteroides_cellulosilyticus_strain_CL06T03C01,anaerobe,group2
P248,Bacteroides_cellulosilyticus_strain_WH2,anaerobe,group1
P249,Bacteroides_coprosuis_DSM_18011_strain_DSM_18011,anaerobe,group2
P250,Bacteroides_dorei_CL03T12C01_strain_CL03T12C01,anaerobe,group1
P251,Bacteroides_eggerthii_strain_CL11T00C20,anaerobe,group1
P252,Bacteroides_eggerthii_strain_FDAARGOS_1221,anaerobe,group1
P258,Bacteroides_fragilis_strain_DCMOUH0017B,anaerobe,group1
P259,Bacteroides_fragilis_strain_DCMOUH0018B,anaerobe,group2
P263,Bacteroides_helcogenes_P_36_108_strain_P_36_108,anaerobe,group1
P262,Bacteroides_helcogenes_P_36108_strain_P_36108,anaerobe,group1
P264,Bacteroides_heparinolyticus_strain_F0111,anaerobe,group2
P266,Bacteroides_ovatus_strain_ATCC_8483,anaerobe,group1
P267,Bacteroides_ovatus_V975_strain_V975,anaerobe,group2
P268,Bacteroides_salyersiae_strain_CL06T03C19,anaerobe,group1
P270,Bacteroides_thetaiotaomicron_strain_CL06T03C18,anaerobe,group1
P271,Bacteroides_thetaiotaomicron_strain_CL11T00C24,anaerobe,group1
P272,Bacteroides_uniformis_CL03T12C37_strain_CL03T12C37,anaerobe,group1
P273,Bacteroides_uniformis_strain_CL06T03C05,anaerobe,group1
P275,Bacteroides_vulgatus_ATCC_8482_strain_ATCC_8482,anaerobe,group2
P276,Bacteroides_xylanisolvens_strain_CL11T00C03,anaerobe,group2
P277,Bacteroides_xylanisolvens_XB1A_strain_XB1A,anaerobe,group2
P278,Bacteroides_zoogleoformans_strain_ATCC_33285,anaerobe,group2
P292,Bifidobacterium_adolescentis_strain_22L,anaerobe,group2
P293,Bifidobacterium_adolescentis_strain_6,anaerobe,group1
P294,Bifidobacterium_angulatum_DSM_20098___JCM_7096_strain_JCM_7096,anaerobe,group1
P295,Bifidobacterium_angulatum_strain_GT102,anaerobe,group1
P307,Bifidobacterium_animalis_subsp__animalis_strain_YL2,anaerobe,group1
P309,Bifidobacterium_animalis_subsp__lactis_ATCC_27673_strain_ATCC_27673,anaerobe,group1
P310,Bifidobacterium_asteroides_DSM_20089_strain_DSM_20089,anaerobe,group1
P311,Bifidobacterium_asteroides_PRL2011_strain_PRL2011,anaerobe,group1
P312,Bifidobacterium_bifidum_,anaerobe,group1
P314,Bifidobacterium_bifidum_BGN4_strain_BGN4,anaerobe,group1
P328,Bifidobacterium_breve_strain_139W423,anaerobe,group1
P339,Bifidobacterium_breve_UCC2003_strain_UCC2003,anaerobe,group2
P340,Bifidobacterium_catenulatum_,anaerobe,group2
P341,Bifidobacterium_catenulatum_DSM_16992___JCM_1194___LMG_11043_strain_JCM_1194,anaerobe,group2
P343,Bifidobacterium_choerinum_strain_FMB_1,anaerobe,group1
P342,Bifidobacterium_choerinum_strain_FMB1,anaerobe,group1
P344,Bifidobacterium_coryneforme_strain_LMG18911,anaerobe,group1
P345,Bifidobacterium_dentium_Bd1_strain_Bd1,anaerobe,group2
P346,Bifidobacterium_dentium_JCM_1195___DSM_20436_strain_JCM_1195,anaerobe,group1
P347,Bifidobacterium_eulemuris_strain_DSM_100216,anaerobe,group1
P348,Bifidobacterium_imperatoris_strain_JCM_32708,anaerobe,group2
P350,Bifidobacterium_kashiwanohense_PV20_2_strain_PV20_2,anaerobe,group1
P349,Bifidobacterium_kashiwanohense_PV202_strain_PV202,anaerobe,group1
P351,Bifidobacterium_lemurum_strain_DSM_28807,anaerobe,group1
P368,Bifidobacterium_longum_strain_K5,anaerobe,group1
P375,Bifidobacterium_longum_subsp__infantis_157F_strain_157F,anaerobe,group1
P383,Bifidobacterium_pseudocatenulatum_DSM_20438___JCM_1200___LMG_10505_strain_JCM_1200,anaerobe,group1
P384,Bifidobacterium_pseudocatenulatum_strain_12,anaerobe,group2
P386,Bifidobacterium_pseudolongum_PV8_2_strain_PV8_2,anaerobe,group2
P385,Bifidobacterium_pseudolongum_PV82_strain_PV82,anaerobe,group2
P388,Bifidobacterium_pullorum_subsp__gallinarum_strain_CACC_514,anaerobe,group1
P387,Bifidobacterium_pullorum_subsp_gallinarum_strain_CACC_514,anaerobe,group1
